# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:31 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7991 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 75732'           /                                                
# SPTYPE  = 'G8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Mar 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Mar 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803720 / Minimum wavelength (um)                        
# MAXWAVE =              5.39915 / Maximum wavelength (um)                        
# V       =        5.94400000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =       0.860000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        4.76800000000 / 2MASS J magnitude                              
# JERR    =       0.244000000000 / 2MASS J magnitude error                        
# H       =        4.26500000000 / 2MASS H magnitude                              
# HERR    =       0.234000000000 / 2MASS H magnitude error                        
# KS      =        4.01500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0352090000000 / Relative error in the absolute flux calibration
# RV      =        48.8383690000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.740000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.850281                8.51081e-11         1.24755e-13
             0.850513                9.35420e-11         1.37736e-13
             0.850745                9.87089e-11         1.43368e-13
             0.850977                1.01443e-10         1.44512e-13
             0.851210                1.01678e-10         1.41347e-13
             0.851442                9.81817e-11         1.36257e-13
             0.851674                9.49985e-11         1.31797e-13
             0.851906                9.55645e-11         1.34118e-13
             0.852138                9.80554e-11         1.38209e-13
             0.852370                9.94297e-11         1.43856e-13
             0.852602                9.87428e-11         1.36476e-13
             0.852834                9.69011e-11         1.33767e-13
             0.853066                9.71775e-11         1.32775e-13
             0.853298                9.80377e-11         1.38555e-13
             0.853531                9.70911e-11         1.35291e-13
             0.853763                9.28638e-11         1.31782e-13
             0.853995                8.46510e-11         1.20420e-13
             0.854227                7.06230e-11         1.03121e-13
             0.854459                6.18203e-11         9.24752e-14
             0.854691                7.16937e-11         1.04025e-13
             0.854923                8.46339e-11         1.19548e-13
             0.855155                9.14106e-11         1.28819e-13
             0.855387                9.53943e-11         1.33685e-13
             0.855619                9.63316e-11         1.32828e-13
             0.855851                9.48627e-11         1.30567e-13
             0.856083                9.56934e-11         1.29977e-13
             0.856315                9.70811e-11         1.31475e-13
             0.856547                9.77144e-11         1.33227e-13
             0.856779                9.82888e-11         1.34985e-13
             0.857011                9.81841e-11         1.34300e-13
             0.857243                9.76524e-11         1.31868e-13
             0.857475                9.70491e-11         1.30410e-13
             0.857707                9.72951e-11         1.31112e-13
             0.857939                9.86695e-11         1.33245e-13
             0.858171                9.85508e-11         1.34360e-13
             0.858403                9.66517e-11         1.33638e-13
             0.858635                9.59883e-11         1.31099e-13
             0.858867                9.73667e-11         1.31521e-13
             0.859099                9.78517e-11         1.31090e-13
             0.859331                9.73873e-11         1.30779e-13
             0.859563                9.70312e-11         1.31208e-13
             0.859794                9.64098e-11         1.31994e-13
             0.860026                9.59118e-11         1.31473e-13
             0.860258                9.73364e-11         1.31915e-13
             0.860490                9.79360e-11         1.31228e-13
             0.860722                9.71956e-11         1.30096e-13
             0.860954                9.66699e-11         1.29580e-13
             0.861186                9.54455e-11         1.29148e-13
             0.861418                9.38737e-11         1.28469e-13
             0.861650                9.55202e-11         1.30262e-13
             0.861882                9.66695e-11         1.29896e-13
             0.862113                9.72183e-11         1.29664e-13
             0.862345                9.60633e-11         1.26759e-13
             0.862577                9.64985e-11         1.28122e-13
             0.862809                9.75709e-11         1.30204e-13
             0.863041                9.80938e-11         1.32349e-13
             0.863273                9.69992e-11         1.32012e-13
             0.863505                9.63493e-11         1.27717e-13
             0.863737                9.66124e-11         1.26966e-13
             0.863968                9.80746e-11         1.29200e-13
             0.864200                9.81347e-11         1.29414e-13
             0.864432                9.76177e-11         1.30468e-13
             0.864664                9.70626e-11         1.30161e-13
             0.864896                9.48655e-11         1.26589e-13
             0.865128                9.29060e-11         1.23562e-13
             0.865359                9.40356e-11         1.24503e-13
             0.865591                9.44071e-11         1.24950e-13
             0.865823                9.24011e-11         1.24906e-13
             0.866055                8.56670e-11         1.17171e-13
             0.866287                7.07110e-11         9.97398e-14
             0.866518                6.58190e-11         9.39104e-14
             0.866750                7.74235e-11         1.06628e-13
             0.866982                8.83144e-11         1.18053e-13
             0.867214                9.21506e-11         1.22897e-13
             0.867445                9.17418e-11         1.23002e-13
             0.867677                9.09721e-11         1.23268e-13
             0.867909                9.26022e-11         1.24261e-13
             0.868141                9.35627e-11         1.24615e-13
             0.868372                9.34294e-11         1.23766e-13
             0.868604                9.43424e-11         1.24780e-13
             0.868836                9.11086e-11         1.21657e-13
             0.869068                8.68544e-11         1.17797e-13
             0.869299                8.94147e-11         1.21114e-13
             0.869531                9.46628e-11         1.26421e-13
             0.869763                9.53884e-11         1.25406e-13
             0.869994                9.41072e-11         1.24285e-13
             0.870226                9.26639e-11         1.21885e-13
             0.870458                9.32865e-11         1.23131e-13
             0.870690                9.46405e-11         1.25780e-13
             0.870921                9.47713e-11         1.26692e-13
             0.871153                9.30867e-11         1.22986e-13
             0.871385                9.07550e-11         1.20630e-13
             0.871616                9.17216e-11         1.20790e-13
             0.871848                9.32825e-11         1.23022e-13
             0.872080                9.39459e-11         1.24723e-13
             0.872311                9.61697e-11         1.28403e-13
             0.872543                9.67594e-11         1.28417e-13
             0.872775                9.55836e-11         1.27450e-13
             0.873006                9.32381e-11         1.24851e-13
             0.873238                9.35829e-11         1.26229e-13
             0.873470                9.49922e-11         1.27955e-13
             0.873701                9.16044e-11         1.25092e-13
             0.873933                9.02301e-11         1.23804e-13
             0.874164                9.28511e-11         1.26121e-13
             0.874396                9.32616e-11         1.25606e-13
             0.874628                9.45466e-11         1.26765e-13
             0.874859                9.53708e-11         1.27478e-13
             0.875091                9.52819e-11         1.27934e-13
             0.875323                9.36855e-11         1.26363e-13
             0.875554                9.36518e-11         1.26966e-13
             0.875786                9.41948e-11         1.26428e-13
             0.876017                9.51035e-11         1.27100e-13
             0.876249                9.58638e-11         1.27417e-13
             0.876481                9.49485e-11         1.26619e-13
             0.876712                9.36488e-11         1.25154e-13
             0.876944                9.49223e-11         1.27468e-13
             0.877175                9.56093e-11         1.27910e-13
             0.877407                9.26414e-11         1.24030e-13
             0.877638                9.14820e-11         1.25124e-13
             0.877870                9.48295e-11         1.25468e-13
             0.878102                9.59775e-11         1.26001e-13
             0.878333                9.57800e-11         1.27227e-13
             0.878565                9.58114e-11         1.26383e-13
             0.878796                9.62323e-11         1.26658e-13
             0.879028                9.56541e-11         1.24326e-13
             0.879259                9.26969e-11         1.21836e-13
             0.879491                9.07468e-11         1.19239e-13
             0.879722                9.24072e-11         1.21585e-13
             0.879954                9.43630e-11         1.23399e-13
             0.880185                9.59293e-11         1.26088e-13
             0.880417                9.44903e-11         1.22997e-13
             0.880648                8.68491e-11         1.14142e-13
             0.880880                7.93073e-11         1.04406e-13
             0.881111                8.28292e-11         1.09647e-13
             0.881343                9.06430e-11         1.18038e-13
             0.881574                9.41999e-11         1.22981e-13
             0.881806                9.48972e-11         1.23485e-13
             0.882037                9.47221e-11         1.23665e-13
             0.882269                9.40489e-11         1.23144e-13
             0.882500                9.08495e-11         1.26919e-13
             0.882732                8.98661e-11         1.18538e-13
             0.882963                9.29673e-11         1.22495e-13
             0.883195                9.55656e-11         1.26328e-13
             0.883426                9.61129e-11         1.27342e-13
             0.883657                9.49091e-11         1.25619e-13
             0.883889                9.32512e-11         1.24303e-13
             0.884120                9.28076e-11         1.23469e-13
             0.884352                9.36587e-11         1.26185e-13
             0.884583                9.44566e-11         1.27172e-13
             0.884815                9.41894e-11         1.29688e-13
             0.885046                9.43130e-11         1.29184e-13
             0.885277                9.53393e-11         1.30154e-13
             0.885509                9.56055e-11         1.30174e-13
             0.885740                9.52674e-11         1.29785e-13
             0.885972                9.49336e-11         1.29374e-13
             0.886203                9.40957e-11         1.28854e-13
             0.886434                9.17393e-11         1.25755e-13
             0.886666                9.07645e-11         1.24361e-13
             0.886897                8.90840e-11         1.21808e-13
             0.887129                9.08467e-11         1.23884e-13
             0.887360                9.44145e-11         1.27714e-13
             0.887591                9.49443e-11         1.29237e-13
             0.887823                9.37007e-11         1.29055e-13
             0.888054                9.33899e-11         1.30331e-13
             0.888285                9.40671e-11         1.29337e-13
             0.888517                9.43968e-11         1.28364e-13
             0.888748                9.42410e-11         1.27276e-13
             0.888980                9.52726e-11         1.27666e-13
             0.889211                9.45663e-11         1.26757e-13
             0.889442                9.33811e-11         1.25770e-13
             0.889674                9.37716e-11         1.24937e-13
             0.889905                9.45535e-11         1.25753e-13
             0.890136                9.42643e-11         1.24351e-13
             0.890368                9.45610e-11         1.25306e-13
             0.890599                9.43533e-11         1.25198e-13
             0.890830                9.42796e-11         1.25136e-13
             0.891061                9.38559e-11         1.24599e-13
             0.891293                9.30342e-11         1.23880e-13
             0.891524                9.24476e-11         1.21583e-13
             0.891755                9.34048e-11         1.22411e-13
             0.891987                9.32623e-11         1.21934e-13
             0.892218                9.23866e-11         1.22259e-13
             0.892449                9.11422e-11         1.20387e-13
             0.892681                8.97789e-11         1.19659e-13
             0.892912                8.93807e-11         1.19031e-13
             0.893143                9.08593e-11         1.23809e-13
             0.893374                9.22671e-11         1.22990e-13
             0.893606                9.35191e-11         1.27801e-13
             0.893837                9.44592e-11         1.36998e-13
             0.894068                9.41787e-11         1.34345e-13
             0.894300                9.29599e-11         1.29455e-13
             0.894531                9.09256e-11         1.24293e-13
             0.894762                8.94025e-11         1.21770e-13
